id,ad,NIST_CSF,800-53,ISO27001,CIS,OWASP,status
"CHG-008","Rollback planı ASSESS","RC.RP","CM-3 CP-10","A.5.29","CIS-4","IR",ASSESS
"CHG-009","Semantic version / tag disiplini","PR.DS-06","CM-3 SI-7","A.8.9","CIS-16","A08",ASSESS
"CHG-010","Doküman-only vs kod değişimi ayrımı","GV.PO","CM-4","A.5.1","CIS-4","Policy",ASSESS
"CHG-011","Secret içeren PR reddi","PR.DS","SI-10","A.8.28","CIS-16","A02",ASSESS
"CHG-012","Ethics fail merge engeli","GV.PO","SI-10","A.5.1","CIS-14","Policy",ASSESS
"CHG-013","Upstream sync review","ID.SC","SA-12 CM-3","A.5.21","CIS-15","A08",ASSESS
"CHG-014","Infra terraform plan review","PR.PS","CM-3","A.8.32","CIS-4","Cloud",ASSESS
"CHG-015","Skill depth değişim kaydı","GV.OV","CM-3","A.8.32","CIS-4","Process",ASSESS
"CHG-016","Expert list refresh aylık","GV.RR","PM-2","A.5.2","CIS-14","Governance",ASSESS
"CHG-017","Standards currency refresh","ID.RA","RA-3","A.5.7","CIS-7","Compliance",ASSESS
"CHG-018","Emergency change yolu","RS.MI","CM-3 IR-4","A.5.24","CIS-17","IR",ASSESS
"CHG-019","Deprecation süreci","GV.OC","CM-3","A.8.32","CIS-4","Process",ASSESS
"CHG-020","CHG review döngüsü","GV.OV","CA-2","A.5.35","CIS-4","QA",ASSESS
"TC-001","SBOM üretim gereksinimi","ID.SC-02","SA-12","A.5.21","CIS-16","A08",ASSESS
"TC-002","Action SHA pin zorunluluğu ASSESS","ID.SC-03","SA-12 SI-7","A.5.21","CIS-16","A08",ASSESS
"TC-003","Dependabot Actions güncellemesi","ID.SC","RA-5 SA-12","A.8.8","CIS-7","A08",ASSESS
"TC-004","SLSA provenance hedef seviyesi","ID.SC PR.DS","SA-12","A.5.21","CIS-16","A08",ASSESS
"TC-005","Immutable releases ASSESS","PR.DS-06","SI-7","A.8.26","CIS-16","A08",ASSESS
"TC-006","Release attestation ASSESS","PR.DS-06","SI-7","A.8.26","CIS-16","A08",ASSESS
"TC-007","Action allowlist","ID.SC-03","SA-12","A.5.19","CIS-15","A08",ASSESS
"TC-008","Workflow SBOM artefakt saklama","ID.SC","AU-7","A.5.21","CIS-16","A08",ASSESS
"TC-009","Katalog ayrı SBOM (opsiyonel)","ID.SC","SA-12","A.5.21","CIS-15","A08",ASSESS
"TC-010","Scorecard ASSESS","ID.RA","RA-5","A.8.8","CIS-7","A08",ASSESS
"TC-011","zizmor/actionlint ASSESS","DE.CM","SI-4","A.8.16","CIS-8","A08",ASSESS
"TC-012","Provenance commit SHA bağlama","PR.DS-06","SI-7","A.8.26","CIS-16","A08",ASSESS
"TC-013","Fork PR secret izolasyonu (TC)","PR.AA ID.SC","AC-3 SA-12","A.8.3","CIS-6","A07",ASSESS
"TC-014","Lockfile bilinci","ID.SC","SA-10","A.8.28","CIS-16","A08",ASSESS
"TC-015","Image/base yok beyanı","ID.AM","CM-8","A.5.9","CIS-1","Scope",ASSESS
"TC-016","Third-party action CVE sınıfı izleme","ID.RA","RA-5","A.8.8","CIS-7","A08",ASSESS
"TC-017","Build script bütünlüğü","PR.PS","CM-3 SI-7","A.8.28","CIS-16","A08",ASSESS
"TC-018","Transparency log hedefi","PR.DS","SI-7","A.8.26","CIS-16","A08",ASSESS
"TC-019","Consumer verify dokümanı","PR.DS-06","SI-7","A.8.26","CIS-16","A08",ASSESS
"TC-020","TC review döngüsü","GV.OV","CA-2","A.5.35","CIS-4","QA",ASSESS
"COND-001","Risk-based access koşulu","PR.AA-01","AC-2 AC-3","A.5.15","CIS-6","A07",ASSESS
"COND-002","MODE koşulu","GV.PO","PL-1","A.5.1","CIS-4","Policy",ASSESS
"COND-003","Secret varlığı koşulu","PR.AA PR.DS","IA-5","A.8.5","CIS-5","A07",ASSESS
"COND-004","Fork PR koşulu","PR.AA","AC-3","A.8.3","CIS-6","A07",ASSESS
"COND-005","Branch koşulu","PR.PS","CM-5","A.8.4","CIS-16","A08",ASSESS
"COND-006","Zaman koşulu — nightly pencere","PR.IR","CP-2","A.5.29","CIS-11","Ops",ASSESS
"COND-007","Environment protection ASSESS","PR.AA","AC-3","A.5.15","CIS-6","A07",ASSESS
"COND-008","Path filter koşulu","PR.PS","CM-3","A.8.32","CIS-4","Ops",ASSESS
"COND-009","Actor allowlist koşulu","PR.AA","AC-2","A.5.15","CIS-5","A07",ASSESS
"COND-010","Ethics fail koşulu","GV.PO","SI-10","A.5.1","CIS-14","Policy",ASSESS
"COND-011","Secret scan fail koşulu","PR.DS","SI-10","A.8.28","CIS-16","A02",ASSESS
"COND-012","Risk skoru eşiği (kaba)","ID.RA GV.RM","RA-3","A.5.3","CIS-4","Risk",ASSESS
"COND-013","Compliance pack koşulu","GV.OC","CA-2","A.5.35","CIS-4","Compliance",ASSESS
"COND-014","PQC migration koşulu","PR.DS","SC-13","A.8.24","CIS-3","A02",ASSESS
"COND-015","MCP enable koşulu","PR.AA","AC-20","A.5.23","CIS-15","A07",ASSESS
"COND-016","Canva ayrımı koşulu","GV.OC","CM-3","A.5.1","CIS-4","Process",ASSESS
"COND-017","Rate limit koşulu","PR.IR","SC-5","A.8.6","CIS-11","DoS sınıfı",ASSESS
"COND-018","Data classification koşulu","PR.DS","SI-12","A.8.12","CIS-3","A02 LLM",ASSESS
"COND-019","Emergency override kayıt koşulu","GV.PO RS.MI","AU-2 IR-4","A.5.24","CIS-17","IR",ASSESS
"COND-020","COND review döngüsü","GV.OV","CA-2","A.5.35","CIS-4","QA",ASSESS
